Consecutive Time,Voltage,Current (raw),Capacity (normalized),Standard Discharge Capacity,Battery Temperature,Ambient Temperature,Step Num,Time[s],SOC
53927.9319,3.387597,48.7581,0.067172601,97.61355,-0.276071,-0.7211107,6,480,0.024346944
53932.9311,3.387657,48.76344,0.06786523,97.61355,-0.2877522,-0.7478978,6,485,0.024600558
53937.9311,3.387975,48.75739,0.068558218,97.61355,-0.2644152,-0.7698649,6,490,0.024854172
53942.9315,3.388356,48.76099,0.069251164,97.61355,-0.3528135,-0.7676653,6,495,0.025107786
53947.9317,3.388379,48.75072,0.069944388,97.61355,-0.3031436,-0.6802244,6,500,0.0253614
53952.9318,3.388765,48.77127,0.07063714,97.61355,-0.2522019,-0.6972335,6,505,0.025615014
53957.9318,3.389047,48.75334,0.071330005,97.61355,-0.3474621,-0.7547627,6,510,0.025868628
53962.9311,3.389175,48.74409,0.072022778,97.61355,-0.2624446,-0.6772707,6,515,0.026122242
53967.9315,3.389251,48.76277,0.072715683,97.61355,-0.2865673,-0.7467125,6,520,0.026375856
53972.9319,3.389749,48.7533,0.073408763,97.61355,-0.3822577,-0.8348841,6,525,0.02662947
53977.9313,3.389885,48.75743,0.074101434,97.61355,-0.2137378,-0.7116155,6,530,0.026883084
53982.9314,3.390044,48.76347,0.074794524,97.61355,-0.3569166,-0.7944281,6,535,0.027136698
53987.9312,3.390131,48.76241,0.075487276,97.61355,-0.3535391,-0.775947,6,540,0.027390312
53992.9317,3.390474,48.75183,0.076180059,97.61355,-0.2855947,-0.7910495,6,545,0.027643926
53997.9311,3.390623,48.75348,0.076872739,97.61355,-0.2960594,-0.7713102,6,550,0.02789754
54002.9312,3.39081,48.76677,0.077565871,97.61355,-0.3040688,-0.7944281,6,555,0.028151154
54007.9317,3.39111,48.75743,0.078258818,97.61355,-0.2984894,-0.8341615,6,560,0.028404768
54012.9315,3.391621,48.75792,0.078951713,97.61355,-0.2919248,-0.804935,6,565,0.028658382
54017.9316,3.391693,48.75499,0.079644476,97.61355,-0.3532729,-0.828545,6,570,0.028911996
54022.9314,3.392003,48.74707,0.080337248,97.61355,-0.2914274,-0.7213674,6,575,0.02916561
54027.9315,3.392153,48.76175,0.081030226,97.61355,-0.2746263,-0.8178414,6,580,0.029419224
54032.9313,3.392467,48.75476,0.081723265,97.61355,-0.2609714,-0.7966278,6,585,0.029672838
54037.9313,3.392702,48.75204,0.082415997,97.61355,-0.2795148,-0.800073,6,590,0.029926452
54042.9315,3.392639,48.76482,0.083108749,97.61355,-0.2865673,-0.7995786,6,595,0.030180066
54047.9319,3.392945,48.76196,0.083801829,97.61355,-0.3384386,-0.8288112,6,600,0.03043368
54052.9311,3.393437,48.76593,0.084494612,97.61355,-0.2670797,-0.8329475,6,605,0.030687294
54057.9317,3.393711,48.75392,0.085187753,97.61355,-0.254898,-0.7829958,6,610,0.030940908
54062.9312,3.394225,48.75072,0.085880731,97.61355,-0.1672597,-0.7330843,6,615,0.031194522
54067.9311,3.394239,48.75899,0.086573698,97.61355,-0.3075159,-0.8734016,6,620,0.031448136
54072.9315,3.394663,48.75543,0.087266706,97.61355,-0.2325056,-0.7681503,6,625,0.03170175
54077.9312,3.395006,48.76405,0.08795954,97.61355,-0.2846093,-0.8731418,6,630,0.031955364
54082.9311,3.39514,48.76765,0.088652457,97.61355,-0.2785327,-0.859512,6,635,0.032208978
54087.9311,3.395288,48.75311,0.089345383,97.61355,-0.2454062,-0.7508485,6,640,0.032462592
54092.9319,3.395481,48.76401,0.090038524,97.61355,-0.2500064,-0.8234197,6,645,0.032716206
54097.9316,3.395854,48.76286,0.090731697,97.61355,-0.232249,-0.8207573,6,650,0.03296982
54102.9314,3.396121,48.76526,0.091424746,97.61355,-0.231533,-0.7822796,6,655,0.033223434
54107.9315,3.396167,48.7597,0.092117375,97.61355,-0.2261757,-0.7618178,6,660,0.033477048
54112.9317,3.396474,48.75618,0.09281064,97.61355,-0.2251999,-0.8514675,6,665,0.033730662
54117.932,3.396958,48.74405,0.093503822,97.61355,-0.2614656,-0.8499905,6,670,0.033984276
54122.9313,3.39708,48.76294,0.094196625,97.61355,-0.2563712,-0.7995786,6,675,0.03423789
54127.9311,3.397185,48.7637,0.0948895,97.61355,-0.2514859,-0.8249,6,680,0.034491504
54132.9317,3.397475,48.75748,0.095582499,97.61355,-0.2699944,-0.8283136,6,685,0.034745118
54137.9315,3.397794,48.75992,0.096275425,97.61355,-0.260249,-0.8185608,6,690,0.034998732
54142.9317,3.398194,48.75534,0.096968495,97.61355,-0.2656381,-0.8466085,6,695,0.035252346
54147.9314,3.398395,48.75499,0.09766137,97.61355,-0.2232294,-0.789078,6,700,0.03550596
54152.9318,3.398746,48.76326,0.098354317,97.61355,-0.1835432,-0.7644801,6,705,0.035759574
54157.9316,3.398946,48.76294,0.099047243,97.61355,-0.2259191,-0.8068716,6,710,0.036013188
54162.9312,3.399156,48.74756,0.099740159,97.61355,-0.1740519,-0.7851923,6,715,0.036266802
54167.9319,3.399568,48.75262,0.100433249,97.61355,-0.2298285,-0.8560984,6,720,0.036520416
54172.9313,3.400063,48.7569,0.10112592,97.61355,-0.1823583,-0.7632915,6,725,0.03677403
54177.9311,3.400157,48.74893,0.101818702,97.61355,-0.2169249,-0.8129824,6,730,0.037027644
54182.9313,3.400349,48.76765,0.102511793,97.61355,-0.1662808,-0.800073,6,735,0.037281258
54187.9317,3.400583,48.76575,0.103204729,97.61355,-0.1575151,-0.8215148,6,740,0.037534872
54192.9312,3.400931,48.76753,0.103897461,97.61355,-0.138254,-0.7720327,6,745,0.037788486
54197.9313,3.401397,48.75316,0.104590398,97.61355,-0.2025545,-0.7910495,6,750,0.0380421
54202.9313,3.401711,48.77002,0.105283232,97.61355,-0.2147294,-0.9240735,6,755,0.038295714
54207.9311,3.401844,48.76299,0.105976373,97.61355,-0.1896131,-0.8989465,6,760,0.038549328
54212.9318,3.402164,48.75815,0.106669617,97.61355,-0.1621149,-0.8336669,6,765,0.038802942
54217.9313,3.402597,48.74377,0.107362349,97.61355,-0.1648109,-0.8212581,6,770,0.039056556
54222.9315,3.402733,48.76428,0.108055593,97.61355,-0.1148845,-0.7864125,6,775,0.03931017
54227.9312,3.403142,48.75383,0.108748632,97.61355,-0.08638988,-0.7579036,6,780,0.039563784
54232.9313,3.403262,48.76579,0.109441671,97.61355,-0.1779358,-0.8419459,6,785,0.039817398
54237.9312,3.403603,48.75908,0.110134607,97.61355,-0.1504284,-0.8672937,6,790,0.040071012
54242.9315,3.403989,48.75876,0.110827646,97.61355,-0.2101008,-0.8439175,6,795,0.040324626
54247.9311,3.404512,48.75209,0.111520685,97.61355,-0.2066857,-0.8253944,6,800,0.04057824
54252.9311,3.404693,48.76031,0.11221311,97.61355,-0.1443238,-0.7932079,6,805,0.040831854
54257.9316,3.404923,48.75392,0.112906251,97.61355,-0.1202351,-0.8144246,6,810,0.041085468
54262.9311,3.405527,48.75516,0.113599085,97.61355,-0.1297577,-0.7861906,6,815,0.041339082
54267.9317,3.405425,48.7477,0.114292124,97.61355,-0.09490179,-0.7815252,6,820,0.041592696
54272.9315,3.40572,48.75787,0.114985061,97.61355,-0.09443296,-0.7810561,6,825,0.04184631
54277.9313,3.406331,48.77127,0.115677895,97.61355,-0.1499659,-0.8366178,6,830,0.042099924
54282.9311,3.406758,48.7713,0.116370832,97.61355,-0.1889288,-0.8831517,6,835,0.042353538
54287.9312,3.406965,48.76152,0.117063666,97.61355,-0.1613958,-0.8480507,6,840,0.042607152
54292.9311,3.406986,48.75966,0.117756398,97.61355,-0.1324156,-0.8341615,6,845,0.042860766
54297.9317,3.407311,48.76073,0.118449334,97.61355,-0.04695125,-0.7562048,6,850,0.04311438
54302.9313,3.407853,48.76263,0.119142373,97.61355,-0.0647096,-0.7664197,6,855,0.043367994
54307.9313,3.408242,48.7601,0.11983531,97.61355,-0.04817082,-0.7725304,6,860,0.043621608
54312.9317,3.408421,48.75841,0.120528451,97.61355,-0.007988773,-0.7021204,6,865,0.043875222
54317.9316,3.408824,48.75446,0.12122108,97.61355,-0.04817082,-0.7574218,6,870,0.044128836
54322.9311,3.409092,48.75873,0.121914222,97.61355,-0.04961214,-0.789078,6,875,0.04438245
54327.9317,3.409455,48.75717,0.122607159,97.61355,-0.07933521,-0.8339205,6,880,0.044636064
54332.9318,3.409792,48.75063,0.123300198,97.61355,-0.1333945,-0.8578004,6,885,0.044889678
54337.9314,3.409952,48.75801,0.123992929,97.61355,-0.01748222,-0.794688,6,890,0.045143292
54342.9311,3.410207,48.75085,0.124685968,97.61355,-0.172848,-0.882169,6,895,0.045396906
54347.9319,3.410639,48.76398,0.12537911,97.61355,-0.01819812,-0.7425416,6,900,0.04565052
54352.9313,3.410868,48.75676,0.126071637,97.61355,0.01486277,-0.800073,6,905,0.045904134
54357.9314,3.411368,48.76068,0.126764778,97.61355,-0.06398419,-0.8336669,6,910,0.046157748
54362.9313,3.411395,48.76588,0.12745792,97.61355,-0.02624083,-0.7581444,6,915,0.046411362
54367.9316,3.41186,48.75854,0.128150651,97.61355,0.005880604,-0.7108961,6,920,0.046664976
54372.9312,3.412274,48.78217,0.12884369,97.61355,-0.05230154,-0.7691137,6,925,0.04691859
54377.9316,3.412245,48.76517,0.129536422,97.61355,-0.04475603,-0.7389032,6,930,0.047172204
54382.9316,3.412735,48.76454,0.130229359,97.61355,0.001000151,-0.7006816,6,935,0.047425818
54387.9318,3.412908,48.75414,0.130922295,97.61355,0.003218833,-0.7588702,6,940,0.047679432
54392.9319,3.41347,48.765,0.131615232,97.61355,-0.001663005,-0.7259978,6,945,0.047933046
54397.9316,3.413857,48.7621,0.132308066,97.61355,0.000534891,-0.7464558,6,950,0.04818666
54402.9312,3.414171,48.767,0.1330009,97.61355,0.03313039,-0.7440217,6,955,0.048440274
54407.9318,3.414069,48.75627,0.133694144,97.61355,-0.08249349,-0.7993219,6,960,0.048693888
54412.9314,3.414678,48.76317,0.134386876,97.61355,-0.05863068,-0.7754462,6,965,0.048947502
54417.9314,3.414966,48.76326,0.135079915,97.61355,-0.05643544,-0.7656971,6,970,0.049201116
54422.9312,3.415505,48.76405,0.135772851,97.61355,-0.06667995,-0.7683943,6,975,0.04945473
54427.9314,3.415693,48.75121,0.13646589,97.61355,0.01417915,-0.7101355,6,980,0.049708344
54432.9311,3.415934,48.75241,0.137158622,97.61355,0.02656654,-0.7732466,6,985,0.049961958
54437.9313,3.416207,48.75107,0.137851661,97.61355,0.135291,-0.7172252,6,990,0.050215572
54442.9317,3.416627,48.77264,0.1385447,97.61355,0.0703374,-0.7369636,6,995,0.050469186
54447.9315,3.416872,48.76068,0.139237534,97.61355,0.02972505,-0.7776394,6,1000,0.0507228
54452.9313,3.417374,48.74435,0.139930471,97.61355,0.05040354,-0.7644801,6,1005,0.050976414
54457.9313,3.417372,48.76331,0.140623202,97.61355,0.07011588,-0.7069821,6,1010,0.051230028
54462.9316,3.417861,48.7677,0.141316241,97.61355,0.01877145,-0.7584012,6,1015,0.051483642
54467.9315,3.418083,48.76398,0.142009076,97.61355,0.01683136,-0.7376862,6,1020,0.051737256
54472.9311,3.41831,48.77625,0.14270191,97.61355,-0.03842377,-0.7929892,6,1025,0.05199087
54477.9312,3.418758,48.75845,0.143394641,97.61355,0.003218833,-0.8117336,6,1030,0.052244484
54482.9316,3.418995,48.76686,0.144087783,97.61355,0.04624513,-0.7459899,6,1035,0.052498098
54487.9317,3.419465,48.76135,0.144780822,97.61355,-0.01919276,-0.711118,6,1040,0.052751712
54492.9311,3.419744,48.77406,0.145473554,97.61355,0.1474504,-0.7574218,6,1045,0.053005326
54497.9321,3.419992,48.74586,0.146166695,97.61355,0.0255886,-0.7966278,6,1050,0.05325894
54502.9317,3.420339,48.76224,0.146859529,97.61355,0.008539192,-0.8217494,6,1055,0.053512554
54507.9315,3.420674,48.7637,0.147552671,97.61355,0.0963681,-0.7267172,6,1060,0.053766168
54512.9315,3.420856,48.74702,0.148245505,97.61355,0.02584495,-0.6957915,6,1065,0.054019782
54517.9313,3.421248,48.74529,0.148938544,97.61355,0.03895675,-0.7011443,6,1070,0.054273396
54522.9315,3.421502,48.76117,0.149631583,97.61355,0.1771118,-0.7364691,6,1075,0.05452701
54527.9312,3.421828,48.76201,0.150324622,97.61355,0.1022158,-0.7240582,6,1080,0.054780624
54532.9316,3.422123,48.76463,0.151017661,97.61355,0.09027036,-0.667779,6,1085,0.055034238
54537.9314,3.422382,48.76682,0.151710495,97.61355,0.04312472,-0.7793257,6,1090,0.055287852
54542.9319,3.422727,48.77232,0.152403739,97.61355,0.04017201,-0.7588702,6,1095,0.055541466
54547.9314,3.423204,48.75725,0.153096368,97.61355,0.06086268,-0.7237983,6,1100,0.05579508
54552.9315,3.423177,48.76872,0.153789305,97.61355,0.09246644,-0.7601158,6,1105,0.056048694
54557.9312,3.423616,48.75917,0.154482344,97.61355,0.07231206,-0.7500942,6,1110,0.056302308
54562.9313,3.424065,48.77411,0.155175076,97.61355,0.005418514,-0.7717729,6,1115,0.056555922
54567.9315,3.424459,48.76135,0.155868115,97.61355,0.04066888,-0.7666765,6,1120,0.056809536
54572.9313,3.424562,48.75529,0.156560949,97.61355,0.01561603,-0.8446339,6,1125,0.05706315
54577.9314,3.424772,48.76544,0.15725368,97.61355,0.109038,-0.7208635,6,1130,0.057316764
54582.9317,3.425131,48.75267,0.157946515,97.61355,0.05332136,-0.7615611,6,1135,0.057570378
54587.9313,3.425347,48.7645,0.158639451,97.61355,0.1065667,-0.6931261,6,1140,0.057823992
54592.9314,3.42566,48.75267,0.15933249,97.61355,0.06305574,-0.751812,6,1145,0.058077606
54597.9311,3.425939,48.75188,0.160025324,97.61355,0.185869,-0.643906,6,1150,0.05833122
54602.9312,3.426183,48.76735,0.160718363,97.61355,0.1464886,-0.6682481,6,1155,0.058584834
54607.9316,3.42646,48.76077,0.161411198,97.61355,0.1562241,-0.7189081,6,1160,0.058838448
54612.9318,3.426707,48.76196,0.162104134,97.61355,0.1372211,-0.6624232,6,1165,0.059092062
54617.9315,3.426951,48.76237,0.162796763,97.61355,0.07716008,-0.7678935,6,1170,0.059345676
54622.9317,3.427248,48.75562,0.1634897,97.61355,0.04624513,-0.7610952,6,1175,0.05959929
54627.9315,3.427391,48.75067,0.164182841,97.61355,0.06378043,-0.8266115,6,1180,0.059852904
54632.9319,3.427852,48.76549,0.164875778,97.61355,0.1311524,-0.7515743,6,1185,0.060106518
54637.9311,3.428116,48.76797,0.16556851,97.61355,0.1095158,-0.7883523,6,1190,0.060360132
54642.9311,3.428284,48.76855,0.166261344,97.61355,0.1491463,-0.7562048,6,1195,0.060613746
54647.9312,3.428339,48.76828,0.16695428,97.61355,0.02315482,-0.8824005,6,1200,0.06086736
54652.9311,3.428991,48.76949,0.167647115,97.61355,0.09564979,-0.7720327,6,1205,0.061120974
54657.9311,3.429214,48.7654,0.168339949,97.61355,0.1474504,-0.7352458,6,1210,0.061374588
54662.9319,3.429652,48.7493,0.169032988,97.61355,0.07181523,-0.8261139,6,1215,0.061628202
54667.9311,3.429599,48.7791,0.169725719,97.61355,0.06840386,-0.8295308,6,1220,0.061881816
54672.9315,3.429875,48.77264,0.170418758,97.61355,0.0586696,-0.8090712,6,1225,0.06213543
54677.9319,3.430392,48.7597,0.1711119,97.61355,0.0963681,-0.7864125,6,1230,0.062389044
54682.9317,3.430445,48.76419,0.171804529,97.61355,0.1253114,-0.7196655,6,1235,0.062642658
54687.932,3.430874,48.74663,0.172497568,97.61355,0.1155785,-0.7445194,6,1240,0.062896272
54692.9313,3.431083,48.75197,0.173190505,97.61355,0.19219,-0.6375742,6,1245,0.063149886
54697.9318,3.431235,48.76468,0.173883441,97.61355,0.1775927,-0.7579162,6,1250,0.0634035
54702.9312,3.431386,48.75125,0.17457648,97.61355,0.1698287,-0.7128326,6,1255,0.063657114
54707.9313,3.431683,48.76602,0.175269417,97.61355,0.1924463,-0.7203817,6,1260,0.063910728
54712.9316,3.431826,48.75752,0.175962456,97.61355,0.2111716,-0.6638652,6,1265,0.064164342
54717.9315,3.432051,48.7513,0.17665529,97.61355,0.155471,-0.7121131,6,1270,0.064417956
54722.9313,3.43254,48.75,0.177348227,97.61355,0.1505859,-0.7018986,6,1275,0.06467157
54727.9311,3.432508,48.77411,0.178041163,97.61355,0.1790828,-0.7413246,6,1280,0.064925184
54732.9317,3.432801,48.75757,0.1787341,97.61355,0.2167742,-0.6204994,6,1285,0.065178798
54737.9319,3.433033,48.76575,0.179427139,97.61355,0.2011969,-0.7644801,6,1290,0.065432412
54742.9317,3.433377,48.76015,0.180119871,97.61355,0.1306557,-0.7898293,6,1295,0.065686026
54747.9312,3.433266,48.76291,0.18081291,97.61355,0.1622924,-0.7807994,6,1300,0.06593964
54752.9313,3.433659,48.7621,0.181505949,97.61355,0.1360061,-0.8448937,6,1305,0.066193254
