Var1,Var2
0.2192,-0.000619036924139922
0.2208,-0.000616651278851457
0.2224,-0.000620024429796791
0.224,-0.000606297987319289
0.2256,-0.000599262290479577
0.2272,-0.000595401175180615
0.2288,-0.000589089891939592
0.2304,-0.00059090899527261
0.232,-0.000596458434351462
0.2336,-0.000597185594160633
0.2352,-0.000585751496845932
0.2368,-0.000584797929363499
0.2384,-0.000581859657977313
0.24,-0.000576674734973938
0.2416,-0.000573360729300407
0.2432,-0.000567349944342197
0.2448,-0.000554125205304919
0.2464,-0.000547864839689408
0.248,-0.00054591246516667
0.2496,-0.000547766221581888
0.2512,-0.000545363822690293
0.2528,-0.000544535556860552
0.2544,-0.000545085144361432
0.256,-0.000540847499078931
0.2576,-0.000524918252162139
0.2592,-0.000515233744524826
0.2608,-0.000516235420198695
0.2624,-0.000503297791195771
0.264,-0.000495663922762843
0.2656,-0.000487408576866775
0.2672,-0.000484524227965268
0.2688,-0.000485629954260677
0.2704,-0.00048136311104162
0.272,-0.000469942740268522
0.2736,-0.000462979962564282
0.2752,-0.000455376477636012
0.2768,-0.00045080261252646
0.2784,-0.000439766859795529
0.28,-0.000429083823371887
0.2816,-0.000418506679639404
0.2832,-0.000417140850642166
0.2848,-0.000414039041059175
0.2864,-0.000408480516851392
0.288,-0.000402249915149621
0.2896,-0.00039721567188872
0.2912,-0.00039614195716375
0.2928,-0.000389647087513018
0.2944,-0.000367981856486973
0.296,-0.000355930339763874
0.2976,-0.00034705078700729
0.2992,-0.000342300364567927
0.3008,-0.000339484156231577
0.3024,-0.000330779253333761
0.304,-0.000316804867088592
0.3056,-0.000306524165529331
0.3072,-0.000289264372409995
0.3088,-0.000274790761479025
0.3104,-0.000274834423226397
0.312,-0.000270514376539894
0.3136,-0.000266920223603784
0.3152,-0.000265201561746995
0.3168,-0.000250460631891111
0.3184,-0.000236262572681433
0.32,-0.000217603363344493
0.3216,-0.000207277956901938
0.3232,-0.000200897071930556
0.3248,-0.000188881235475306
0.3264,-0.000167596711426331
0.328,-0.000160471053369304
0.3296,-0.000160809546255217
0.3312,-0.000163243930377683
0.3328,-0.000150238915326437
0.3344,-0.000131704252859411
0.336,-0.000121224397817274
0.3376,-0.000132133060327184
0.3392,-0.000104182830975462
0.3408,-8.03981474792659e-05
0.3424,-8.0451511165634e-05
0.344,-5.70981353887567e-05
0.3456,-4.62107553722861e-05
0.3472,-4.40253609291283e-05
0.3488,-2.3368005379041e-05
0.3504,-1.85163595826852e-05
0.352,-1.2920722627027e-05
0.3536,2.58307425722433e-06
0.3552,1.48220229904287e-05
0.3568,3.81747312666464e-05
0.3584,6.49798830019644e-05
0.36,6.79539653208811e-05
0.3616,7.81478232810532e-05
0.3632,9.27804479607299e-05
0.3648,0.000100787448385562
0.3664,0.000108292481766307
0.368,0.000117058396102261
0.3696,0.00013243242323976
0.3712,0.000143054160024028
0.3728,0.000153111104591883
0.3744,0.000161524719830744
0.376,0.00016619680311068
0.3776,0.000187781905448783
0.3792,0.000201324021107972
0.3808,0.000195684739843087
0.3824,0.000214649588873894
0.384,0.000224885579139805
0.3856,0.000234223155725149
0.3872,0.00025480314028897
0.3888,0.000272265795647098
0.3904,0.000289461578280279
0.392,0.000303913996508198
0.3936,0.000316479612979983
0.3952,0.000328236856170494
0.3968,0.000337377707743835
0.3984,0.000351750740326322
0.4,0.000366614108587895
0.4016,0.000385059336944305
0.4032,0.000394098481507734
0.4048,0.00039325939660643
0.4064,0.000392755185136881
0.408,0.000405334281777209
0.4096,0.000433891703405605
0.4112,0.00043461218465719
0.4128,0.000437602676575141
0.4144,0.000445136663394618
0.416,0.000456647111678666
0.4176,0.00046686883691573
0.4192,0.000473831903541025
0.4208,0.000486517652644882
0.4224,0.000492564818236398
0.424,0.000502957205183789
0.4256,0.00050993265913081
0.4272,0.000514137929281009
0.4288,0.000532646426568377
0.4304,0.000534472673865762
0.432,0.000544740062089904
0.4336,0.000552991870427627
0.4352,0.000564620073733127
0.4368,0.000566950947538254
0.4384,0.000575999593499491
0.44,0.000601952801316445
0.4416,0.000587005770496678
0.4432,0.000597149036630507
0.4448,0.000608742502899974
0.4464,0.000609928865657589
0.448,0.000619093418812657
0.4496,0.000620561399684164
0.4512,0.000627059990230792
0.4528,0.00064622395826703
0.4544,0.000642074165122809
0.456,0.000650786866808655
0.4576,0.000667854723023385
0.4592,0.000662464934210351
0.4608,0.000671024942197185
0.4624,0.000686164294881954
0.464,0.0006995380602275
0.4656,0.000699613544269871
0.4672,0.000704729092523926
0.4688,0.000713449239142918
0.4704,0.000713216129528159
0.472,0.000716570803843577
0.4736,0.000722687416720082
0.4752,0.000728158104029677
0.4768,0.000742522596915046
0.4784,0.000747062312687439
0.48,0.000749462961118302
0.4816,0.000752937950366009
0.4832,0.000760174607346972
0.4848,0.000778775896799249
0.4864,0.000776646722803681
0.488,0.000778440573391852
0.4896,0.000781362926163381
0.4912,0.000775874669667277
0.4928,0.000789458530706994
0.4944,0.00079640976548023
0.496,0.000800416220340517
0.4976,0.000792711552451585
0.4992,0.000810839354742248
